averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
151.1,109.5,75.8,55.5,lh_17Networks_LH_VisCent_ExStr_1,0.0,0
105.0,53.5,52.2,26.0,lh_17Networks_LH_VisCent_ExStr_2,0.0,0
112.6,64.0,56.7,32.0,lh_17Networks_LH_VisCent_ExStr_3,0.0,0
84.3,24.0,41.7,12.0,lh_17Networks_LH_VisCent_ExStr_4,0.0,0
109.8,60.0,54.2,29.0,lh_17Networks_LH_VisCent_ExStr_5,0.0,0
141.5,94.0,71.7,49.0,lh_17Networks_LH_VisCent_ExStr_6,0.0,0
73.2,8.0,37.0,3.0,lh_17Networks_LH_VisCent_Striate_1,0.0,0
140.5,91.5,71.2,48.0,lh_17Networks_LH_VisCent_ExStr_7,48.0,6
127.2,76.5,63.4,37.0,lh_17Networks_LH_VisCent_ExStr_8,0.0,0
167.1,139.0,84.6,73.0,lh_17Networks_LH_VisCent_ExStr_9,73.0,7
74.0,9.0,37.9,4.0,lh_17Networks_LH_VisCent_ExStr_10,0.0,0
135.0,87.0,68.3,44.0,lh_17Networks_LH_VisCent_ExStr_11,0.0,0
127.1,75.0,64.4,39.0,lh_17Networks_LH_VisPeri_ExStrInf_1,0.0,0
85.5,28.0,43.4,16.0,lh_17Networks_LH_VisPeri_ExStrInf_2,0.0,0
83.6,22.0,42.0,13.0,lh_17Networks_LH_VisPeri_ExStrInf_3,0.0,0
123.9,73.0,61.3,34.5,lh_17Networks_LH_VisPeri_ExStrInf_4,0.0,0
100.1,44.0,50.6,25.0,lh_17Networks_LH_VisPeri_ExStrInf_5,0.0,0
63.4,3.0,31.7,2.0,lh_17Networks_LH_VisPeri_StriCal_1,0.0,0
57.9,1.0,28.7,1.0,lh_17Networks_LH_VisPeri_StriCal_2,0.0,0
76.8,12.0,38.1,5.0,lh_17Networks_LH_VisPeri_ExStrSup_1,0.0,0
78.6,16.0,39.1,8.5,lh_17Networks_LH_VisPeri_ExStrSup_2,0.0,0
87.5,29.5,43.6,17.0,lh_17Networks_LH_VisPeri_ExStrSup_3,0.0,0
92.2,36.0,46.4,19.0,lh_17Networks_LH_VisPeri_ExStrSup_4,0.0,0
108.1,58.0,54.6,30.0,lh_17Networks_LH_VisPeri_ExStrSup_5,0.0,0
137.1,88.0,68.8,45.0,lh_17Networks_LH_SomMotA_1,0.0,0
96.0,38.0,48.6,20.0,lh_17Networks_LH_SomMotA_2,20.0,4
79.9,17.0,39.7,10.0,lh_17Networks_LH_SomMotA_3,0.0,0
119.6,68.0,61.3,34.5,lh_17Networks_LH_SomMotA_4,0.0,0
